File name,Tags,Visual description
data--insights,"insights, data intelligence, pattern detection, decision support, knowledge extraction",Two lines of shapes with a circle being lowered into on line
data--privacy,"privacy, personal data, identity protection, confidentiality, consent, secure access",Shield with a person in it
data--scientist,"data science, dashboard, reporting",A person with a set of charts
data--security,"infrastructure protection, secure storage, data protection, governance, cyber resilience",A server rack with a shield on it
data--transfer,"synchronization, migration, bidirectional flow",2 arrows forming a circle with a solid circle inside
desktop,"desktop, workstation, user interface, computer, application",Computer monitor
detect--and--stop--advancing--threats,"threat detection, threat prevention, defense, attack disruption, cyber resilience, rapid response",A closed circle with x’s in it and a swarm of pixels around it
dialogue,"conversation, communication, collaboration, chat, feedback, engagement",Speech bubble with 3 dots in it
digital--id,"digital identity, biometric identity, identity verification, fingerprint authentication, user validation, background check",A thumbprint in a scanner square
digital--trust,"identity assurance, compliance, verification, governance, accountability, trust",A shield with a person and a checklist in it
endpoint--protection,"device security, workstation security, malware defense, endpoint detection, secure devices",A computer monitor with a shield on it
ensure-data-quality,"validate, good data, prep data, RACI",3 columns of items with a checkmark in a circle
envelope,"email, message, communication, notification, correspondence, outreach",Envelope
finance-and-operations,"revenue growth, profitability, return on investment, business value, growth",Bar graph trending up with a dollar sign
finance-and-supply-chain,"fast time to value, fast time to market",A rocket with a dollar sign
flow--chart,"flowchart, hierarchy, org chart, classification, categorization",A 3 level hierarchy
generate--ai,"generative ai, gen ai, genai",A square with AI in the middle
get--ahead--of--risk--and--compliance,"compliance, risk management, regulatory readiness, controls, audit, governance, balance,equilibrium",A balance scale
global--partner,"partnership, global ecosystem, alliance, collaboration, co-creation, international",Handshake over a globe
goals,"goals, target, outcomes, success",A target with an arrow heading to the bullseye
governance,"governance, compliance, global",A globe with circular arrows around it
govern--users--and--identities,"identity verification, access authentication, authorization",Fingerprint with a check
group,"users, teams, employees, department, people",3 people
growth,"growth, organic growth, sustainable growth, continuous improvement",3 plans each successively bigger
handshake,"agreement, win, success, partnership, teamwork, contract",a handshake
heart--health,"customer satisfaction, NPS, happy users",person with a heart in it
heat--map--01,"heatmap, disparate systems, proliferation, sprawl, trends, silos",A collection of different sized squares
high--performance,"performance, optimization, growth, scalability, acceleration, productivity, improvement",Box with an arrow in it trending up
high-risk--users,"identity risk, privileged users, suspicious users, insider threat, access risk, bad actors",A caution symbol with 2 users
human-in-the-loop,"human in the loop, relationship lifecycle",Human inside a circular arrow
hybrid--cloud--02,"hybrid cloud, connected environments",Cloud plus a server
hybrid--cloud--services,"on-premises integration, deployment flexibility, hybrid infrastructure",A server deck and a cloud
Idea,"ideation, creative problem-solving, invention, transformation, new capabilities, innovation",Lightbulb
identity--trust--assessment,"Authorized user, target market, persona",A user with a checkmark in it
innovate,"ideation, creative problem-solving, invention, transformation, new capabilities",A lightbulb with a gear in it
inspect--data,"data analysis, binary data, data discovery, validation, diagnostics",Columns of 1’s and 0’s with a magnifying glass
integration--02,"interoperability, investment protection, connected platforms, extend without replacement",3 concentric circles with a single point where they touch
knows--dark--data,"hidden insights, data discovery, unstructured data, unknown assets, disparate",A random scattering of different shapes
language--01,"multilingual, language support, translation",A person surrounded by different language characters
machine--learning--02,"expertise, skills, knowledge, experience",A human head with connections in it
machine--learning--03,"ai augmented, ai, machine learning",A set of connections shaped like a brain
machine--learning--06,"artificial intelligence, predictive analytics, intelligent automation, model training, cognitive computing",A brain with lines representing signals coming out
master--threat--hunting,"investigation, detection, incident discovery, on target",A gun sight with x’s and an o in it
medal--01,"win, accel, lead, recognition, accolades, proven track record",A ribbon with a star in it
microscope,"research, investigation, detailed analysis, scientific discovery, inspection, diagnostics",Microscope
mobile--chat,"mobile communication, messaging, conversational experience, , chatbot, mobile support",Mobile device with a speech bubble
monitor,"monitoring, visibility, observability, oversight, tracking, surveillance",Human eye with three lines/nodes coming out of it
multicoud--computing,"cloud choice, distributed cloud, cloud portability, multiple providers",2 clouds
natural--language--classifier,"classification, categorization, content routing",Shapes being classified
natural--language--understanding,"text extraction, semantic analysis, context, document intelligence, data prep",A file with fields broken out of it
networking--02,"architecture, hierarchy, connectivity, topology, infrastructure, process",A sideways hierarchy chart with 2 levels
networking--04,"Connectivity, cross platform, point-to-point, integration, data exchange, application connectivity, interoperability",Circle with an A in it connected to a box with a B in it
network--protection,"network security, secure connectivity, perimeter defense, traffic protection, infrastructure security",Nodes connected in a circle with a shield over it
on-premises,"private environment, local deployment, on premise",A high rise building and a server stack
open-source,"openness, extensibility, interoperability, ecosystem choice, reduced lock-in",The open source logo
outcome-focused,"on target, strategic decisions, outcome focused",A donut shape with arrows going in toward the center
path,"journey, roadmap, workflow, navigation, progression, phased adoption",Grid of 9 circles with a path through them
player--flow,"workflow, process, automation",A set of triangles connected by lines with a media play symbol
price,"price, cost, pricing, affordability, commercial value",Price tag
productivity,"efficiency, performance improvement, growth, operational improvement",A circle with lines of ascending length it it
protect--critical--assets,"asset protection, data security, information protection, safeguarding, secure data",A file with a shield over it
puzzle,"interoperability, connected systems, unified platform, integration, composability, partnership",4 puzzle pieces fit together
q-q-plot,"statistical analysis, modeling , data science, analytics",Combo line and scatter graph
reducing-cost,"savings, efficiency, optimization, lower operating cost, financial value, roi",A graph with a line trending down and a dollar sign
renew,"refresh, modernize, lifecycle, continuous improvement, reuse",Two curved arrows making a circle
retrieve--and--rank,"search, ranking, relevance, knowledge discovery, recommendations",Magnifying glass over rectangular fields
rich--text--format,"formatted content, document creation, multimedia, formatting, publishing",Document with an image on it
robotics,"automation, industrial, manufacturing, autonomous operations",Robotic factory arm
scalable,"scalable, growth, expansion", Squares increasing in size with an arrow
secure--hybrid--cloud,"secure cloud, cloud governance, resilience",Cloud with a shield over it
secure--search,"search, verified results, validate, find, identify",Magnifying glass over a check mark
security--as--a--service,"managed security, security, security support",An open handing holding a shield
security--hygiene,"security best practices, cyber readiness, risk reduction",A shield with sparkles around it
security--intelligence,"detection, threat intelligence, monitoring, cyber monitoring","A circular, wiping radar readout"
strategy--and--risk,"strategy, risk management, governance, planning, controls, resilience",A shield with a playbook in it
strategy--play,"playbook, planning, tactics, execution, decision-making",Playbook with x’s and o’s
sustainability,"environmental responsibility, green operations, conservation, growth, ESG, organic",An open hand holding a plant
swipe--right,"trusted access, user interface, drag and drop, point and click",Pointer finger touching a circle with an arrow going right
target,"goal, target",A plain target
threat--management,"threat detection, cyber risk, security operations, incident response, protection",A shield with a target in it
tool--overload,"application sprawl, fragmented tools, applications, user interface, prototype",3 UI pop-ups overlaying each other
tools,"configure, maintain, implementation, operations",Screwdriver and wrench
touch,"interaction, user experience, engagement, activation, accessibility, intuitive interface",A pointer finger touching a circle
tradeoff--analytics,"Risk analysis, decision support, prioritization, optimization, balanced decisions",A balance with 3 small circles on one side and a big one on the other
transform--01,"acceleration, modernization, evolution, rapid change, transformation",Square transitioning into a circle
trust,"trust, assurance, confidence, support, component",Open hand holding a square
trusted--user,"verified identities, authorized users, personas, market segment, target market",3 users with a check in the middle
unauthorized--user--access,"access denial, account compromise, blocked user, access control",A user with an X in the middle
underutilized--security,"unused capacity, stall, hinderance, slow",Tachometer at zero
unify--endpoint--management,"unified management, multi modal,  mobile and desktop, devices, multichannel",Mobile device connected to a desktop computer
user,"users, people, workforce, employees, personas, stakeholders",Person
user-search,"user identification, user search, account verification, locate people, persona, market segment",A magnifying glass with a user it it
visual--insights,"data visualization, unstructured data, insight discovery, visual analytics, decision support ",A 2-level hierarchy with a graphic at level 1 and different shapes at level 2
watsonx, watsonx,Watson logo
world--community--grid,"alignment, optimization, synchronization",3 concentric circle touching on the left
zero-trust,"identity security, access control, least privilege, authentication",A circular arrow going around a person and shield
